GenBank Accessions,Genome Name,Total_length,Classification,Broader_Classifications,Clade,CAZyme_freq,Trait,YAS,Trait_Freq,log_Trait_Freq
LMLW01000000,Sphingomonas sp. Leaf242,4300070,Leaf,Plant,1_clade,33,Chaperones and Folding Catalysts,Stress (S),31,3.433987204
LMLW01000000,Sphingomonas sp. Leaf242,4300070,Leaf,Plant,1_clade,33,Proteasome,Stress (S),1,0
LMLW01000000,Sphingomonas sp. Leaf242,4300070,Leaf,Plant,1_clade,33,Prokaryotic Defense System,Stress (S),33,3.496507561
LMLW01000000,Sphingomonas sp. Leaf242,4300070,Leaf,Plant,1_clade,33,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),32,3.465735903
LMMH01000000,Sphingomonas sp. Leaf257,4414563,Leaf,Plant,3_clade,34,Chaperones and Folding Catalysts,Stress (S),34,3.526360525
LMMH01000000,Sphingomonas sp. Leaf257,4414563,Leaf,Plant,3_clade,34,Prokaryotic Defense System,Stress (S),23,3.135494216
LMMH01000000,Sphingomonas sp. Leaf257,4414563,Leaf,Plant,3_clade,34,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),33,3.496507561
LMPG01000000,Sphingomonas sp. Leaf343,3600029,Leaf,Plant,3_clade,29,Chaperones and Folding Catalysts,Stress (S),30,3.401197382
LMPG01000000,Sphingomonas sp. Leaf343,3600029,Leaf,Plant,3_clade,29,Prokaryotic Defense System,Stress (S),34,3.526360525
LMPG01000000,Sphingomonas sp. Leaf343,3600029,Leaf,Plant,3_clade,29,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),32,3.465735903
LMPX01000000,Sphingomonas sp. Leaf198,4201813,Leaf,Plant,1_clade,31,Chaperones and Folding Catalysts,Stress (S),31,3.433987204
LMPX01000000,Sphingomonas sp. Leaf198,4201813,Leaf,Plant,1_clade,31,Proteasome,Stress (S),1,0
LMPX01000000,Sphingomonas sp. Leaf198,4201813,Leaf,Plant,1_clade,31,Prokaryotic Defense System,Stress (S),29,3.36729583
LMPX01000000,Sphingomonas sp. Leaf198,4201813,Leaf,Plant,1_clade,31,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),32,3.465735903
LMQO01000000,Sphingomonas sp. Leaf407,3784018,Leaf,Plant,9_clade,27,Chaperones and Folding Catalysts,Stress (S),30,3.401197382
LMQO01000000,Sphingomonas sp. Leaf407,3784018,Leaf,Plant,9_clade,27,Prokaryotic Defense System,Stress (S),29,3.36729583
LMQO01000000,Sphingomonas sp. Leaf407,3784018,Leaf,Plant,9_clade,27,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),32,3.465735903
LMQP01000000,Sphingomonas sp. Leaf412,3462693,Leaf,Plant,4_clade,17,Chaperones and Folding Catalysts,Stress (S),30,3.401197382
LMQP01000000,Sphingomonas sp. Leaf412,3462693,Leaf,Plant,4_clade,17,Prokaryotic Defense System,Stress (S),27,3.295836866
LMQP01000000,Sphingomonas sp. Leaf412,3462693,Leaf,Plant,4_clade,17,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),31,3.433987204
LMRS01000000,Sphingomonas sp. Leaf339,3902651,Leaf,Plant,3_clade,25,Chaperones and Folding Catalysts,Stress (S),32,3.465735903
LMRS01000000,Sphingomonas sp. Leaf339,3902651,Leaf,Plant,3_clade,25,Prokaryotic Defense System,Stress (S),21,3.044522438
LMRS01000000,Sphingomonas sp. Leaf339,3902651,Leaf,Plant,3_clade,25,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),31,3.433987204
LNOS01000000,Sphingomonas sp. WG,4035104,Water,Water,6_clade,33,Chaperones and Folding Catalysts,Stress (S),31,3.433987204
LNOS01000000,Sphingomonas sp. WG,4035104,Water,Water,6_clade,33,Prokaryotic Defense System,Stress (S),24,3.17805383
LNOS01000000,Sphingomonas sp. WG,4035104,Water,Water,6_clade,33,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),32,3.465735903
LQCK00000000,Sphingomonas sp. TY,4096203,Other,Other,2_clade,27,Chaperones and Folding Catalysts,Stress (S),29,3.36729583
LQCK00000000,Sphingomonas sp. TY,4096203,Other,Other,2_clade,27,Prokaryotic Defense System,Stress (S),33,3.496507561
LQCK00000000,Sphingomonas sp. TY,4096203,Other,Other,2_clade,27,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),33,3.496507561
LQQO00000000,Sphingomonas hankookensis strain CN3,3810603,Water,Water,9_clade,20,Chaperones and Folding Catalysts,Stress (S),30,3.401197382
LQQO00000000,Sphingomonas hankookensis strain CN3,3810603,Water,Water,9_clade,20,Prokaryotic Defense System,Stress (S),31,3.433987204
LQQO00000000,Sphingomonas hankookensis strain CN3,3810603,Water,Water,9_clade,20,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),32,3.465735903
LR701490,Sphingomonas sp. EC-HK361 strain SPHINGO361,3278119,Protist,Other,4_clade,27,Chaperones and Folding Catalysts,Stress (S),30,3.401197382
LR701490,Sphingomonas sp. EC-HK361 strain SPHINGO361,3278119,Protist,Other,4_clade,27,Prokaryotic Defense System,Stress (S),23,3.135494216
LR701490,Sphingomonas sp. EC-HK361 strain SPHINGO361,3278119,Protist,Other,4_clade,27,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),31,3.433987204
LR701508,Sphingomonas sp. EC-SD391 strain SPHINGO391,4601616,Protist,Other,1_clade,46,Chaperones and Folding Catalysts,Stress (S),31,3.433987204
LR701508,Sphingomonas sp. EC-SD391 strain SPHINGO391,4601616,Protist,Other,1_clade,46,Proteasome,Stress (S),1,0
LR701508,Sphingomonas sp. EC-SD391 strain SPHINGO391,4601616,Protist,Other,1_clade,46,Prokaryotic Defense System,Stress (S),30,3.401197382
LR701508,Sphingomonas sp. EC-SD391 strain SPHINGO391,4601616,Protist,Other,1_clade,46,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),32,3.465735903
LR733845,Sphingomonas sp. 8AM,3772716,Protist,Other,4_clade,30,Chaperones and Folding Catalysts,Stress (S),30,3.401197382
LR733845,Sphingomonas sp. 8AM,3772716,Protist,Other,4_clade,30,Prokaryotic Defense System,Stress (S),28,3.33220451
LR733845,Sphingomonas sp. 8AM,3772716,Protist,Other,4_clade,30,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),32,3.465735903
LR733893,Sphingomonas sp. T1,4534579,Protist,Other,1_clade,32,Chaperones and Folding Catalysts,Stress (S),35,3.555348061
LR733893,Sphingomonas sp. T1,4534579,Protist,Other,1_clade,32,Prokaryotic Defense System,Stress (S),23,3.135494216
LR733893,Sphingomonas sp. T1,4534579,Protist,Other,1_clade,32,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),33,3.496507561
LR733979,Sphingomonas sp. AX6,3016405,Protist,Other,8_clade,19,Chaperones and Folding Catalysts,Stress (S),28,3.33220451
LR733979,Sphingomonas sp. AX6,3016405,Protist,Other,8_clade,19,Prokaryotic Defense System,Stress (S),22,3.091042453
LR733979,Sphingomonas sp. AX6,3016405,Protist,Other,8_clade,19,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),27,3.295836866
LSHQ00000000,Sphingomonas sp. CCH5-A5,3516524,Clinical,Clinical,8_clade,20,Chaperones and Folding Catalysts,Stress (S),27,3.295836866
LSHQ00000000,Sphingomonas sp. CCH5-A5,3516524,Clinical,Clinical,8_clade,20,Prokaryotic Defense System,Stress (S),26,3.258096538
LSHQ00000000,Sphingomonas sp. CCH5-A5,3516524,Clinical,Clinical,8_clade,20,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),28,3.33220451
LSHT00000000,Sphingomonas sp. CCH18-B1,3976549,Clinical,Clinical,10_clade,17,Chaperones and Folding Catalysts,Stress (S),30,3.401197382
LSHT00000000,Sphingomonas sp. CCH18-B1,3976549,Clinical,Clinical,10_clade,17,Prokaryotic Defense System,Stress (S),40,3.688879454
LSHT00000000,Sphingomonas sp. CCH18-B1,3976549,Clinical,Clinical,10_clade,17,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),26,3.258096538
LSHX00000000,Sphingomonas sp. CCH21-G11,3606750,Clinical,Clinical,8_clade,20,Chaperones and Folding Catalysts,Stress (S),27,3.295836866
LSHX00000000,Sphingomonas sp. CCH21-G11,3606750,Clinical,Clinical,8_clade,20,Prokaryotic Defense System,Stress (S),26,3.258096538
LSHX00000000,Sphingomonas sp. CCH21-G11,3606750,Clinical,Clinical,8_clade,20,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),28,3.33220451
LSIE00000000,Sphingomonas sp. CCH16-B10,3565304,Clinical,Clinical,8_clade,21,Chaperones and Folding Catalysts,Stress (S),27,3.295836866
LSIE00000000,Sphingomonas sp. CCH16-B10,3565304,Clinical,Clinical,8_clade,21,Prokaryotic Defense System,Stress (S),26,3.258096538
LSIE00000000,Sphingomonas sp. CCH16-B10,3565304,Clinical,Clinical,8_clade,21,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),29,3.36729583
LSIJ00000000,Sphingomonas sp. CCH10-B3,3636403,Clinical,Clinical,5_clade,17,Chaperones and Folding Catalysts,Stress (S),29,3.36729583
LSIJ00000000,Sphingomonas sp. CCH10-B3,3636403,Clinical,Clinical,5_clade,17,Prokaryotic Defense System,Stress (S),38,3.63758616
LSIJ00000000,Sphingomonas sp. CCH10-B3,3636403,Clinical,Clinical,5_clade,17,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),28,3.33220451
LSJC00000000,Sphingomonas sp. CCH20-B6,4051458,Clinical,Clinical,8_clade,21,Chaperones and Folding Catalysts,Stress (S),39,3.663561646
LSJC00000000,Sphingomonas sp. CCH20-B6,4051458,Clinical,Clinical,8_clade,21,Prokaryotic Defense System,Stress (S),38,3.63758616
LSJC00000000,Sphingomonas sp. CCH20-B6,4051458,Clinical,Clinical,8_clade,21,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),29,3.36729583
LSKH00000000,Sphingomonas sp. CCH5-D11,4382999,Clinical,Clinical,4_clade,31,Chaperones and Folding Catalysts,Stress (S),30,3.401197382
LSKH00000000,Sphingomonas sp. CCH5-D11,4382999,Clinical,Clinical,4_clade,31,Prokaryotic Defense System,Stress (S),23,3.135494216
LSKH00000000,Sphingomonas sp. CCH5-D11,4382999,Clinical,Clinical,4_clade,31,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),34,3.526360525
LSKP00000000,Sphingomonas sp. CCH13-B11,3655968,Clinical,Clinical,8_clade,21,Chaperones and Folding Catalysts,Stress (S),36,3.583518938
LSKP00000000,Sphingomonas sp. CCH13-B11,3655968,Clinical,Clinical,8_clade,21,Prokaryotic Defense System,Stress (S),36,3.583518938
LSKP00000000,Sphingomonas sp. CCH13-B11,3655968,Clinical,Clinical,8_clade,21,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),26,3.258096538
LXVY00000000,Sphingomonas sp. TDK1,5414866,Sediment,Water,6_clade,36,Chaperones and Folding Catalysts,Stress (S),35,3.555348061
LXVY00000000,Sphingomonas sp. TDK1,5414866,Sediment,Water,6_clade,36,Prokaryotic Defense System,Stress (S),35,3.555348061
LXVY00000000,Sphingomonas sp. TDK1,5414866,Sediment,Water,6_clade,36,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),32,3.465735903
LYMJ00000000,Sphingomonas paucimobilis strain 20006FA,5393996,Contaminated site,Contaminated site,10_clade,50,Chaperones and Folding Catalysts,Stress (S),38,3.63758616
LYMJ00000000,Sphingomonas paucimobilis strain 20006FA,5393996,Contaminated site,Contaminated site,10_clade,50,Proteasome,Stress (S),1,0
LYMJ00000000,Sphingomonas paucimobilis strain 20006FA,5393996,Contaminated site,Contaminated site,10_clade,50,Prokaryotic Defense System,Stress (S),41,3.713572067
LYMJ00000000,Sphingomonas paucimobilis strain 20006FA,5393996,Contaminated site,Contaminated site,10_clade,50,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),30,3.401197382
MDDS00000000,Sphingomonas sp. MCT13,4096224,Water,Water,7_clade,28,Chaperones and Folding Catalysts,Stress (S),30,3.401197382
MDDS00000000,Sphingomonas sp. MCT13,4096224,Water,Water,7_clade,28,Prokaryotic Defense System,Stress (S),26,3.258096538
MDDS00000000,Sphingomonas sp. MCT13,4096224,Water,Water,7_clade,28,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),32,3.465735903
MEFG00000000,Sphingomonas sp. SCN 67-18,3220613,Bioreactor,Industrial,11_clade,13,Chaperones and Folding Catalysts,Stress (S),30,3.401197382
MEFG00000000,Sphingomonas sp. SCN 67-18,3220613,Bioreactor,Industrial,11_clade,13,Prokaryotic Defense System,Stress (S),22,3.091042453
MEFG00000000,Sphingomonas sp. SCN 67-18,3220613,Bioreactor,Industrial,11_clade,13,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),30,3.401197382
MIPT00000000,Sphingomonas haloaromaticamans strain P3,4923741,Contaminated site,Contaminated site,12_clade,15,Chaperones and Folding Catalysts,Stress (S),38,3.63758616
MIPT00000000,Sphingomonas haloaromaticamans strain P3,4923741,Contaminated site,Contaminated site,12_clade,15,Prokaryotic Defense System,Stress (S),32,3.465735903
MIPT00000000,Sphingomonas haloaromaticamans strain P3,4923741,Contaminated site,Contaminated site,12_clade,15,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),30,3.401197382
MKSU00000000,Sphingomonas sp. 67-36,4000194,Bioreactor,Industrial,4_clade,22,Chaperones and Folding Catalysts,Stress (S),33,3.496507561
MKSU00000000,Sphingomonas sp. 67-36,4000194,Bioreactor,Industrial,4_clade,22,Prokaryotic Defense System,Stress (S),27,3.295836866
MKSU00000000,Sphingomonas sp. 67-36,4000194,Bioreactor,Industrial,4_clade,22,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),31,3.433987204
MKWJ00000000,Sphingomonas sp. 67-41,4993633,Bioreactor,Industrial,6_clade,26,Chaperones and Folding Catalysts,Stress (S),35,3.555348061
MKWJ00000000,Sphingomonas sp. 67-41,4993633,Bioreactor,Industrial,6_clade,26,Prokaryotic Defense System,Stress (S),26,3.258096538
MKWJ00000000,Sphingomonas sp. 67-41,4993633,Bioreactor,Industrial,6_clade,26,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),32,3.465735903
MOLY00000000KV887133,Sphingomonas sp. W16RD strain W16RD,3722743,Soil,Environment,12_clade,25,Chaperones and Folding Catalysts,Stress (S),29,3.36729583
MOLY00000000KV887133,Sphingomonas sp. W16RD strain W16RD,3722743,Soil,Environment,12_clade,25,Proteasome,Stress (S),1,0
MOLY00000000KV887133,Sphingomonas sp. W16RD strain W16RD,3722743,Soil,Environment,12_clade,25,Prokaryotic Defense System,Stress (S),19,2.944438979
MOLY00000000KV887133,Sphingomonas sp. W16RD strain W16RD,3722743,Soil,Environment,12_clade,25,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),32,3.465735903
MPSB00000000,Sphingomonas sp. G39 strain G39,3117315,Soil,Environment,4_clade,20,Chaperones and Folding Catalysts,Stress (S),29,3.36729583
MPSB00000000,Sphingomonas sp. G39 strain G39,3117315,Soil,Environment,4_clade,20,Prokaryotic Defense System,Stress (S),18,2.890371758
MPSB00000000,Sphingomonas sp. G39 strain G39,3117315,Soil,Environment,4_clade,20,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),34,3.526360525
MQUI00000000,Sphingomonas sp. sph1 strain sph1,4050221,Contaminated site,Contaminated site,3_clade,27,Chaperones and Folding Catalysts,Stress (S),34,3.526360525
MQUI00000000,Sphingomonas sp. sph1 strain sph1,4050221,Contaminated site,Contaminated site,3_clade,27,Prokaryotic Defense System,Stress (S),31,3.433987204
MQUI00000000,Sphingomonas sp. sph1 strain sph1,4050221,Contaminated site,Contaminated site,3_clade,27,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),32,3.465735903
NBBI00000000,Sphingomonas dokdonensis strain DSM 21029,3452664,Soil,Environment,4_clade,19,Chaperones and Folding Catalysts,Stress (S),28,3.33220451
NBBI00000000,Sphingomonas dokdonensis strain DSM 21029,3452664,Soil,Environment,4_clade,19,Prokaryotic Defense System,Stress (S),24,3.17805383
NBBI00000000,Sphingomonas dokdonensis strain DSM 21029,3452664,Soil,Environment,4_clade,19,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),32,3.465735903
NBBJ00000000,Sphingomonas mucosissima strain DSM 17494,3584790,Soil,Environment,4_clade,26,Chaperones and Folding Catalysts,Stress (S),27,3.295836866
NBBJ00000000,Sphingomonas mucosissima strain DSM 17494,3584790,Soil,Environment,4_clade,26,Prokaryotic Defense System,Stress (S),19,2.944438979
NBBJ00000000,Sphingomonas mucosissima strain DSM 17494,3584790,Soil,Environment,4_clade,26,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),33,3.496507561
NCGB00000000,Sphingomonas sp. 28-62-11,2896786,Mine,Industrial,5_clade,11,Chaperones and Folding Catalysts,Stress (S),27,3.295836866
NCGB00000000,Sphingomonas sp. 28-62-11,2896786,Mine,Industrial,5_clade,11,Prokaryotic Defense System,Stress (S),22,3.091042453
NCGB00000000,Sphingomonas sp. 28-62-11,2896786,Mine,Industrial,5_clade,11,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),30,3.401197382
NCGH00000000,Sphingomonas sp. 28-62-20,4052217,Mine,Industrial,5_clade,26,Chaperones and Folding Catalysts,Stress (S),32,3.465735903
NCGH00000000,Sphingomonas sp. 28-62-20,4052217,Mine,Industrial,5_clade,26,Prokaryotic Defense System,Stress (S),31,3.433987204
NCGH00000000,Sphingomonas sp. 28-62-20,4052217,Mine,Industrial,5_clade,26,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),35,3.555348061
NFUR00000000,Sphingomonas sp. IBVSS2 strain IBVSS2,4293819,Water,Water,6_clade,21,Chaperones and Folding Catalysts,Stress (S),32,3.465735903
NFUR00000000,Sphingomonas sp. IBVSS2 strain IBVSS2,4293819,Water,Water,6_clade,21,Prokaryotic Defense System,Stress (S),24,3.17805383
NFUR00000000,Sphingomonas sp. IBVSS2 strain IBVSS2,4293819,Water,Water,6_clade,21,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),32,3.465735903
NHRH00000000,Sphingomonas sp. CDS-1 strain CDS-1,5357395,Soil,Environment,10_clade,35,Chaperones and Folding Catalysts,Stress (S),52,3.951243719
NHRH00000000,Sphingomonas sp. CDS-1 strain CDS-1,5357395,Soil,Environment,10_clade,35,Proteasome,Stress (S),1,0
NHRH00000000,Sphingomonas sp. CDS-1 strain CDS-1,5357395,Soil,Environment,10_clade,35,Prokaryotic Defense System,Stress (S),27,3.295836866
NHRH00000000,Sphingomonas sp. CDS-1 strain CDS-1,5357395,Soil,Environment,10_clade,35,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),29,3.36729583
NSLI00000000,Sphingomonas sp. 1PNM-20,3757425,Mine,Industrial,3_clade,36,Chaperones and Folding Catalysts,Stress (S),28,3.33220451
NSLI00000000,Sphingomonas sp. 1PNM-20,3757425,Mine,Industrial,3_clade,36,Prokaryotic Defense System,Stress (S),24,3.17805383
NSLI00000000,Sphingomonas sp. 1PNM-20,3757425,Mine,Industrial,3_clade,36,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),35,3.555348061
NWBU01000000,Sphingomonas sp. FW-11,3873878,Contaminated site,Contaminated site,12_clade,26,Chaperones and Folding Catalysts,Stress (S),31,3.433987204
NWBU01000000,Sphingomonas sp. FW-11,3873878,Contaminated site,Contaminated site,12_clade,26,Prokaryotic Defense System,Stress (S),21,3.044522438
NWBU01000000,Sphingomonas sp. FW-11,3873878,Contaminated site,Contaminated site,12_clade,26,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),30,3.401197382
NWMW01000000,Sphingomonas spermidinifaciens strain 9NM-10,3635691,Mine,Industrial,8_clade,23,Chaperones and Folding Catalysts,Stress (S),30,3.401197382
NWMW01000000,Sphingomonas spermidinifaciens strain 9NM-10,3635691,Mine,Industrial,8_clade,23,Prokaryotic Defense System,Stress (S),22,3.091042453
NWMW01000000,Sphingomonas spermidinifaciens strain 9NM-10,3635691,Mine,Industrial,8_clade,23,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),31,3.433987204
NWVC01000000,Sphingomonas adhaesiva strain DSM 7418,3760237,Water,Water,4_clade,22,Chaperones and Folding Catalysts,Stress (S),31,3.433987204
NWVC01000000,Sphingomonas adhaesiva strain DSM 7418,3760237,Water,Water,4_clade,22,Prokaryotic Defense System,Stress (S),39,3.663561646
NWVC01000000,Sphingomonas adhaesiva strain DSM 7418,3760237,Water,Water,4_clade,22,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),31,3.433987204
NWVD01000000,Sphingomonas ginsenosidimutans strain KACC 14949,3900947,Soil,Environment,4_clade,23,Chaperones and Folding Catalysts,Stress (S),33,3.496507561
NWVD01000000,Sphingomonas ginsenosidimutans strain KACC 14949,3900947,Soil,Environment,4_clade,23,Prokaryotic Defense System,Stress (S),32,3.465735903
NWVD01000000,Sphingomonas ginsenosidimutans strain KACC 14949,3900947,Soil,Environment,4_clade,23,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),32,3.465735903
OBMI01000000,Sphingomonas guangdongensis strain CGMCC 1.12672,3544824,Mine,Industrial,9_clade,28,Chaperones and Folding Catalysts,Stress (S),29,3.36729583
OBMI01000000,Sphingomonas guangdongensis strain CGMCC 1.12672,3544824,Mine,Industrial,9_clade,28,Prokaryotic Defense System,Stress (S),22,3.091042453
OBMI01000000,Sphingomonas guangdongensis strain CGMCC 1.12672,3544824,Mine,Industrial,9_clade,28,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),30,3.401197382
PGEN01000000,Sphingomonas koreensis strain JSS26,4398689,Water,Water,7_clade,31,Chaperones and Folding Catalysts,Stress (S),36,3.583518938
PGEN01000000,Sphingomonas koreensis strain JSS26,4398689,Water,Water,7_clade,31,Prokaryotic Defense System,Stress (S),18,2.890371758
PGEN01000000,Sphingomonas koreensis strain JSS26,4398689,Water,Water,7_clade,31,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),31,3.433987204
PGFU01000000,Sphingomonas sp. B093034,3752735,Environment,Environment,3_clade,41,Chaperones and Folding Catalysts,Stress (S),29,3.36729583
PGFU01000000,Sphingomonas sp. B093034,3752735,Environment,Environment,3_clade,41,Prokaryotic Defense System,Stress (S),29,3.36729583
PGFU01000000,Sphingomonas sp. B093034,3752735,Environment,Environment,3_clade,41,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),31,3.433987204
PHHF01000000,Sphingomonas fennica strain K101,4494276,Contaminated site,Contaminated site,12_clade,15,Chaperones and Folding Catalysts,Stress (S),31,3.433987204
PHHF01000000,Sphingomonas fennica strain K101,4494276,Contaminated site,Contaminated site,12_clade,15,Proteasome,Stress (S),1,0
PHHF01000000,Sphingomonas fennica strain K101,4494276,Contaminated site,Contaminated site,12_clade,15,Prokaryotic Defense System,Stress (S),37,3.610917913
PHHF01000000,Sphingomonas fennica strain K101,4494276,Contaminated site,Contaminated site,12_clade,15,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),28,3.33220451
PZZN01000000,Sphingomonas aerolata strain NW12,3827482,Other,Other,1_clade,27,Chaperones and Folding Catalysts,Stress (S),34,3.526360525
PZZN01000000,Sphingomonas aerolata strain NW12,3827482,Other,Other,1_clade,27,Prokaryotic Defense System,Stress (S),19,2.944438979
PZZN01000000,Sphingomonas aerolata strain NW12,3827482,Other,Other,1_clade,27,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),32,3.465735903
QAOF01000000,Sphingomonas sp. PP-CE-3G-477,4090908,Environment,Environment,1_clade,22,Chaperones and Folding Catalysts,Stress (S),30,3.401197382
QAOF01000000,Sphingomonas sp. PP-CE-3G-477,4090908,Environment,Environment,1_clade,22,Proteasome,Stress (S),1,0
QAOF01000000,Sphingomonas sp. PP-CE-3G-477,4090908,Environment,Environment,1_clade,22,Prokaryotic Defense System,Stress (S),24,3.17805383
QAOF01000000,Sphingomonas sp. PP-CE-3G-477,4090908,Environment,Environment,1_clade,22,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),33,3.496507561
QAOG01000000,Sphingomonas aurantiaca strain MA101b,4411230,Dust,Other,1_clade,42,Chaperones and Folding Catalysts,Stress (S),32,3.465735903
QAOG01000000,Sphingomonas aurantiaca strain MA101b,4411230,Dust,Other,1_clade,42,Proteasome,Stress (S),1,0
QAOG01000000,Sphingomonas aurantiaca strain MA101b,4411230,Dust,Other,1_clade,42,Prokaryotic Defense System,Stress (S),20,2.995732274
QAOG01000000,Sphingomonas aurantiaca strain MA101b,4411230,Dust,Other,1_clade,42,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),33,3.496507561
QAYE01000000,Sphingomonas faeni strain MA-olki,4383558,Dust,Other,1_clade,41,Chaperones and Folding Catalysts,Stress (S),31,3.433987204
QAYE01000000,Sphingomonas faeni strain MA-olki,4383558,Dust,Other,1_clade,41,Proteasome,Stress (S),1,0
QAYE01000000,Sphingomonas faeni strain MA-olki,4383558,Dust,Other,1_clade,41,Prokaryotic Defense System,Stress (S),34,3.526360525
QAYE01000000,Sphingomonas faeni strain MA-olki,4383558,Dust,Other,1_clade,41,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),35,3.555348061
QDFS01000000,Sphingomonas melonis strain TPD3008,3907412,Bioreactor,Industrial,2_clade,28,Chaperones and Folding Catalysts,Stress (S),29,3.36729583
QDFS01000000,Sphingomonas melonis strain TPD3008,3907412,Bioreactor,Industrial,2_clade,28,Prokaryotic Defense System,Stress (S),24,3.17805383
QDFS01000000,Sphingomonas melonis strain TPD3008,3907412,Bioreactor,Industrial,2_clade,28,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),34,3.526360525
QENQ01000000,Sphingomonas sp. L3B27,4221798,Root,Plant,6_clade,26,Chaperones and Folding Catalysts,Stress (S),29,3.36729583
QENQ01000000,Sphingomonas sp. L3B27,4221798,Root,Plant,6_clade,26,Prokaryotic Defense System,Stress (S),36,3.583518938
QENQ01000000,Sphingomonas sp. L3B27,4221798,Root,Plant,6_clade,26,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),31,3.433987204
QEOD01000000,Sphingomonas sp. CF311,4528757,Root,Plant,6_clade,29,Chaperones and Folding Catalysts,Stress (S),34,3.526360525
QEOD01000000,Sphingomonas sp. CF311,4528757,Root,Plant,6_clade,29,Prokaryotic Defense System,Stress (S),15,2.708050201
QEOD01000000,Sphingomonas sp. CF311,4528757,Root,Plant,6_clade,29,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),31,3.433987204
QFNF01000000,Sphingomonas hengshuiensis strain S2_018_000_R3_110,3219969,Clinical,Clinical,9_clade,19,Chaperones and Folding Catalysts,Stress (S),36,3.583518938
QFNF01000000,Sphingomonas hengshuiensis strain S2_018_000_R3_110,3219969,Clinical,Clinical,9_clade,19,Prokaryotic Defense System,Stress (S),26,3.258096538
QFNF01000000,Sphingomonas hengshuiensis strain S2_018_000_R3_110,3219969,Clinical,Clinical,9_clade,19,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),31,3.433987204
QFNL01000000,Sphingomonas sp. strain S2_018_000_R2_103,3841663,Clinical,Clinical,9_clade,20,Chaperones and Folding Catalysts,Stress (S),31,3.433987204
QFNL01000000,Sphingomonas sp. strain S2_018_000_R2_103,3841663,Clinical,Clinical,9_clade,20,Prokaryotic Defense System,Stress (S),28,3.33220451
QFNL01000000,Sphingomonas sp. strain S2_018_000_R2_103,3841663,Clinical,Clinical,9_clade,20,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),32,3.465735903
